Source,Target,Opinion
The Brigade,Dockers,0.0
The Brigade,The Fog Hounds,0.0
The Brigade,The Forgotten Gods,0.0
The Brigade,The Foundation,0.0
The Brigade,Gondoliers,0.0
The Brigade,The Gray Cloaks,-2.0
The Brigade,The Grinders,1.0
The Brigade,The Hive,0.0
The Brigade,The Horde,-1.0
The Brigade,Imperial Military,0.0
The Brigade,Ink Rakes,0.0
The Brigade,Inspectors,0.0
The Brigade,Ironhook Prison,-2.0
The Brigade,The Lampblacks,0.0
The Brigade,Leviathan Hunters,-1.0
The Brigade,Lord Scurlock,1.0
The Brigade,The Lost,0.0
The Brigade,Ministry of Preservation,0.0
The Brigade,The Path of Echoes,0.0
The Brigade,Rail Jacks,0.0
The Brigade,The Reconciled,0.0
The Brigade,The Red Sashes,0.0
The Brigade,Sailors,0.0
The Brigade,The Silver Nails,-1.0
The Brigade,Skovlander Refugees,-0.08069315163758994
The Brigade,Sparkwrights,0.0
The Brigade,Spirit Wardens,0.0
The Brigade,Ulf Ironborn,0.0
The Brigade,The Unseen,0.0
The Brigade,The Weeping Lady,-1.037032436858734
The Brigade,The Wraiths,0.0
The Brigade,The Players,-1.0
Bluecoats,The Billhooks,0.5
Bluecoats,The Brigade,-1.0
Bluecoats,Bluecoats,0.0
Bluecoats,Cabbies,0.0
Bluecoats,The Church of the Ecstasy of the Flesh,-1.0
Bluecoats,The Circle of Flame,0.0
Bluecoats,The Crows,0.0
Bluecoats,Cyphers,0.0
Bluecoats,Deathlands Scavengers,-0.6098360627525625
Bluecoats,The Dimmer Sisters,0.0
Bluecoats,Dockers,-0.75
Bluecoats,The Fog Hounds,0.0
Bluecoats,The Forgotten Gods,0.0
Bluecoats,The Foundation,-1.0
Bluecoats,Gondoliers,0.0
Bluecoats,The Gray Cloaks,1.0
Bluecoats,The Grinders,-1.0
Bluecoats,The Hive,0.0
Bluecoats,The Horde,0.0
Bluecoats,Imperial Military,0.0
Bluecoats,Ink Rakes,-0.539309193055522
Bluecoats,Inspectors,-0.02797924843816163
Bluecoats,Ironhook Prison,-0.0034330980021002877
Bluecoats,The Lampblacks,0.0
Bluecoats,Leviathan Hunters,0.0
Bluecoats,Lord Scurlock,0.0
Bluecoats,The Lost,-1.0
Bluecoats,Ministry of Preservation,0.0
Bluecoats,The Path of Echoes,0.0
Bluecoats,Rail Jacks,1.0
Bluecoats,The Reconciled,-0.15201442195320547
Bluecoats,The Red Sashes,0.0
Bluecoats,Sailors,1.0
Bluecoats,The Silver Nails,0.0
Bluecoats,Skovlander Refugees,0.0
Bluecoats,Sparkwrights,0.8860233165133609
Bluecoats,Spirit Wardens,0.0
Bluecoats,Ulf Ironborn,0.0
Bluecoats,The Unseen,0.08538549712117671
Bluecoats,The Weeping Lady,0.0
Bluecoats,The Wraiths,0.0
Bluecoats,The Players,0.75
Cabbies,The Billhooks,-1.0
Cabbies,The Brigade,0.0
Cabbies,Bluecoats,0.0
Cabbies,Cabbies,0.0
Cabbies,The Church of the Ecstasy of the Flesh,0.0
Cabbies,The Circle of Flame,1.0
Cabbies,The Crows,-0.08389254748670172
Cabbies,Cyphers,2.0
Cabbies,Deathlands Scavengers,0.0
Cabbies,The Dimmer Sisters,0.0
Cabbies,Dockers,0.0
Cabbies,The Fog Hounds,0.0
Cabbies,The Forgotten Gods,1.0
Cabbies,The Foundation,0.0
Cabbies,Gondoliers,-1.0
Cabbies,The Gray Cloaks,0.0
Cabbies,The Grinders,0.25
Cabbies,The Hive,0.0
Cabbies,The Horde,0.0
Cabbies,Imperial Military,0.0
Cabbies,Ink Rakes,0.0
Cabbies,Inspectors,-0.05595849687632326
Cabbies,Ironhook Prison,0.0
Cabbies,The Lampblacks,0.0
Cabbies,Leviathan Hunters,0.0
Cabbies,Lord Scurlock,1.0
Cabbies,The Lost,0.0
Cabbies,Ministry of Preservation,0.0
Cabbies,The Path of Echoes,1.0
Cabbies,Rail Jacks,-1.01511959869655
Cabbies,The Reconciled,0.0
Cabbies,The Red Sashes,1.0
Cabbies,Sailors,2.3927960572139733
Cabbies,The Silver Nails,1.0
Cabbies,Skovlander Refugees,0.0
Cabbies,Sparkwrights,0.0
Cabbies,Spirit Wardens,0.0
Cabbies,Ulf Ironborn,0.18636024925465744
Cabbies,The Unseen,0.0
Cabbies,The Weeping Lady,1.0
Cabbies,The Wraiths,1.0
Cabbies,The Players,-0.25
The Church of the Ecstasy of the Flesh,The Billhooks,0.0
The Church of the Ecstasy of the Flesh,The Brigade,1.0
The Church of the Ecstasy of the Flesh,Bluecoats,0.0
The Church of the Ecstasy of the Flesh,Cabbies,0.0
The Church of the Ecstasy of the Flesh,The Church of the Ecstasy of the Flesh,0.0
The Church of the Ecstasy of the Flesh,The Circle of Flame,0.0
The Church of the Ecstasy of the Flesh,The Crows,-1.0
The Church of the Ecstasy of the Flesh,Cyphers,0.0
The Church of the Ecstasy of the Flesh,Deathlands Scavengers,0.0
The Church of the Ecstasy of the Flesh,The Dimmer Sisters,0.9099220744099398
The Church of the Ecstasy of the Flesh,Dockers,0.0
The Church of the Ecstasy of the Flesh,The Fog Hounds,0.0
The Church of the Ecstasy of the Flesh,The Forgotten Gods,0.0
The Church of the Ecstasy of the Flesh,The Foundation,0.0
The Church of the Ecstasy of the Flesh,Gondoliers,-0.2230119049703294
The Church of the Ecstasy of the Flesh,The Gray Cloaks,0.0
The Church of the Ecstasy of the Flesh,The Grinders,0.0
The Church of the Ecstasy of the Flesh,The Hive,0.0
The Church of the Ecstasy of the Flesh,The Horde,2.0
The Church of the Ecstasy of the Flesh,Imperial Military,2.0
The Church of the Ecstasy of the Flesh,Ink Rakes,0.0
The Church of the Ecstasy of the Flesh,Inspectors,0.0
The Church of the Ecstasy of the Flesh,Ironhook Prison,0.0
The Church of the Ecstasy of the Flesh,The Lampblacks,-0.18018887266302852
The Church of the Ecstasy of the Flesh,Leviathan Hunters,0.0
The Church of the Ecstasy of the Flesh,Lord Scurlock,1.0
The Church of the Ecstasy of the Flesh,The Lost,0.0
The Church of the Ecstasy of the Flesh,Ministry of Preservation,1.6922794283118094
The Church of the Ecstasy of the Flesh,The Path of Echoes,0.0
The Church of the Ecstasy of the Flesh,Rail Jacks,0.0
The Church of the Ecstasy of the Flesh,The Reconciled,0.0
The Church of the Ecstasy of the Flesh,The Red Sashes,0.0
The Church of the Ecstasy of the Flesh,Sailors,0.0
The Church of the Ecstasy of the Flesh,The Silver Nails,0.008448421206522838
The Church of the Ecstasy of the Flesh,Skovlander Refugees,1.0
The Church of the Ecstasy of the Flesh,Sparkwrights,-2.5440932660534434
The Church of the Ecstasy of the Flesh,Spirit Wardens,0.0
The Church of the Ecstasy of the Flesh,Ulf Ironborn,0.0
The Church of the Ecstasy of the Flesh,The Unseen,1.0
The Church of the Ecstasy of the Flesh,The Weeping Lady,0.0
The Church of the Ecstasy of the Flesh,The Wraiths,-1.0
The Church of the Ecstasy of the Flesh,The Players,0.0
The Circle of Flame,The Billhooks,-0.5
The Circle of Flame,The Brigade,0.0
The Circle of Flame,Bluecoats,0.0
The Circle of Flame,Cabbies,0.0
The Circle of Flame,The Church of the Ecstasy of the Flesh,0.0
The Circle of Flame,The Circle of Flame,0.0
The Circle of Flame,The Crows,-0.3355701899468069
The Circle of Flame,Cyphers,-0.06256076283642653
The Circle of Flame,Deathlands Scavengers,-0.6098360627525625
The Circle of Flame,The Dimmer Sisters,-1.0
The Circle of Flame,Dockers,0.25
The Circle of Flame,The Fog Hounds,0.0
The Circle of Flame,The Forgotten Gods,0.0
The Circle of Flame,The Foundation,0.0
The Circle of Flame,Gondoliers,0.0
The Circle of Flame,The Gray Cloaks,-1.0
The Circle of Flame,The Grinders,0.0
The Circle of Flame,The Hive,-0.9717674994296969
The Circle of Flame,The Horde,0.0
The Circle of Flame,Imperial Military,0.0
The Circle of Flame,Ink Rakes,1.0
The Circle of Flame,Inspectors,0.0
The Circle of Flame,Ironhook Prison,-0.0034330980021002877
The Circle of Flame,The Lampblacks,0.0
The Circle of Flame,Leviathan Hunters,0.0
The Circle of Flame,Lord Scurlock,-1.0
The Circle of Flame,The Lost,-1.0
The Circle of Flame,Ministry of Preservation,0.0
The Circle of Flame,The Path of Echoes,0.0
The Circle of Flame,Rail Jacks,1.1558473052251346
The Circle of Flame,The Reconciled,0.0
The Circle of Flame,The Red Sashes,0.0
The Circle of Flame,Sailors,0.3927960572139733
The Circle of Flame,The Silver Nails,-0.008448421206522838
The Circle of Flame,Skovlander Refugees,0.0
The Circle of Flame,Sparkwrights,0.0
The Circle of Flame,Spirit Wardens,-1.0
The Circle of Flame,Ulf Ironborn,0.7454409970186298
The Circle of Flame,The Unseen,1.0853854971211767
The Circle of Flame,The Weeping Lady,-1.0
The Circle of Flame,The Wraiths,0.0
The Circle of Flame,The Players,-0.5
The Crows,The Billhooks,-1.0
The Crows,The Brigade,0.0
The Crows,Bluecoats,0.0
The Crows,Cabbies,0.0
The Crows,The Church of the Ecstasy of the Flesh,0.0
The Crows,The Circle of Flame,-2.0
The Crows,The Crows,0.0
The Crows,Cyphers,0.06256076283642653
The Crows,Deathlands Scavengers,1.219672125505125
The Crows,The Dimmer Sisters,0.3603117023602409
The Crows,Dockers,-0.25
The Crows,The Fog Hounds,0.0
The Crows,The Forgotten Gods,0.0
The Crows,The Foundation,0.0
The Crows,Gondoliers,0.09251165815415019
The Crows,The Gray Cloaks,-1.0
The Crows,The Grinders,-0.5
The Crows,The Hive,1.0
The Crows,The Horde,0.0
The Crows,Imperial Military,0.0
The Crows,Ink Rakes,0.0
The Crows,Inspectors,1.0
The Crows,Ironhook Prison,0.006866196004200575
The Crows,The Lampblacks,-1.9099055636684859
The Crows,Leviathan Hunters,0.0
The Crows,Lord Scurlock,0.0
The Crows,The Lost,0.0
The Crows,Ministry of Preservation,-0.8461397141559047
The Crows,The Path of Echoes,0.0
The Crows,Rail Jacks,-2.1709669039216846
The Crows,The Reconciled,0.0
The Crows,The Red Sashes,0.0
The Crows,Sailors,0.0
The Crows,The Silver Nails,1.0
The Crows,Skovlander Refugees,0.0
The Crows,Sparkwrights,1.0
The Crows,Spirit Wardens,0.0
The Crows,Ulf Ironborn,0.6272795014906851
The Crows,The Unseen,-0.17077099424235342
The Crows,The Weeping Lady,0.0
The Crows,The Wraiths,0.0
The Crows,The Players,-0.5
Cyphers,The Billhooks,0.0
Cyphers,The Brigade,0.0
Cyphers,Bluecoats,0.0
Cyphers,Cabbies,0.0
Cyphers,The Church of the Ecstasy of the Flesh,0.0
Cyphers,The Circle of Flame,-1.0
Cyphers,The Crows,0.08389254748670172
Cyphers,Cyphers,0.0
Cyphers,Deathlands Scavengers,0.0
Cyphers,The Dimmer Sisters,0.0
Cyphers,Dockers,0.0
Cyphers,The Fog Hounds,1.0
Cyphers,The Forgotten Gods,0.0
Cyphers,The Foundation,0.0
Cyphers,Gondoliers,0.0
Cyphers,The Gray Cloaks,0.0
Cyphers,The Grinders,-1.25
Cyphers,The Hive,-1.971767499429697
Cyphers,The Horde,0.0
Cyphers,Imperial Military,0.0
Cyphers,Ink Rakes,2.0
Cyphers,Inspectors,0.0
Cyphers,Ironhook Prison,0.0
Cyphers,The Lampblacks,-1.0
Cyphers,Leviathan Hunters,-1.0
Cyphers,Lord Scurlock,0.0
Cyphers,The Lost,1.0
Cyphers,Ministry of Preservation,0.0
Cyphers,The Path of Echoes,1.0
Cyphers,Rail Jacks,0.0
Cyphers,The Reconciled,-2.0
Cyphers,The Red Sashes,-1.0
Cyphers,Sailors,0.0
Cyphers,The Silver Nails,-1.019359380770334
Cyphers,Skovlander Refugees,-1.0
Cyphers,Sparkwrights,0.0
Cyphers,Spirit Wardens,-1.0
Cyphers,Ulf Ironborn,-1.1863602492546574
Cyphers,The Unseen,0.0
Cyphers,The Weeping Lady,1.0
Cyphers,The Wraiths,1.0
Cyphers,The Players,0.75
Deathlands Scavengers,The Billhooks,0.0
Deathlands Scavengers,The Brigade,0.0
Deathlands Scavengers,Bluecoats,-2.0
Deathlands Scavengers,Cabbies,0.0
Deathlands Scavengers,The Church of the Ecstasy of the Flesh,0.0
Deathlands Scavengers,The Circle of Flame,1.0
Deathlands Scavengers,The Crows,-0.08389254748670172
Deathlands Scavengers,Cyphers,-0.06256076283642653
Deathlands Scavengers,Deathlands Scavengers,0.0
Deathlands Scavengers,The Dimmer Sisters,-2.0
Deathlands Scavengers,Dockers,-0.5
Deathlands Scavengers,The Fog Hounds,0.0
Deathlands Scavengers,The Forgotten Gods,0.0
Deathlands Scavengers,The Foundation,1.0
Deathlands Scavengers,Gondoliers,0.0
Deathlands Scavengers,The Gray Cloaks,0.0
Deathlands Scavengers,The Grinders,0.25
Deathlands Scavengers,The Hive,-1.0
Deathlands Scavengers,The Horde,0.0
Deathlands Scavengers,Imperial Military,0.0
Deathlands Scavengers,Ink Rakes,0.269654596527761
Deathlands Scavengers,Inspectors,0.0
Deathlands Scavengers,Ironhook Prison,-0.006866196004200575
Deathlands Scavengers,The Lampblacks,0.0
Deathlands Scavengers,Leviathan Hunters,0.0
Deathlands Scavengers,Lord Scurlock,-1.0
Deathlands Scavengers,The Lost,0.0
Deathlands Scavengers,Ministry of Preservation,0.0
Deathlands Scavengers,The Path of Echoes,-1.0
Deathlands Scavengers,Rail Jacks,2.1558473052251346
Deathlands Scavengers,The Reconciled,-0.15201442195320547
Deathlands Scavengers,The Red Sashes,0.0
Deathlands Scavengers,Sailors,0.3927960572139733
Deathlands Scavengers,The Silver Nails,-1.0168968424130456
Deathlands Scavengers,Skovlander Refugees,0.0
Deathlands Scavengers,Sparkwrights,0.0
Deathlands Scavengers,Spirit Wardens,-0.24728950655020676
Deathlands Scavengers,Ulf Ironborn,0.18636024925465744
Deathlands Scavengers,The Unseen,1.1707709942423534
Deathlands Scavengers,The Weeping Lady,0.0
Deathlands Scavengers,The Wraiths,0.0
Deathlands Scavengers,The Players,0.0
The Dimmer Sisters,The Billhooks,0.5
The Dimmer Sisters,The Brigade,0.0
The Dimmer Sisters,Bluecoats,1.0
The Dimmer Sisters,Cabbies,0.0
The Dimmer Sisters,The Church of the Ecstasy of the Flesh,0.0
The Dimmer Sisters,The Circle of Flame,0.0
The Dimmer Sisters,The Crows,2.0
The Dimmer Sisters,Cyphers,0.0
The Dimmer Sisters,Deathlands Scavengers,1.6098360627525625
The Dimmer Sisters,The Dimmer Sisters,0.0
The Dimmer Sisters,Dockers,-2.25
The Dimmer Sisters,The Fog Hounds,0.0
The Dimmer Sisters,The Forgotten Gods,0.0
The Dimmer Sisters,The Foundation,1.0
The Dimmer Sisters,Gondoliers,1.0
The Dimmer Sisters,The Gray Cloaks,0.0
The Dimmer Sisters,The Grinders,0.0
The Dimmer Sisters,The Hive,-0.028232500570303132
The Dimmer Sisters,The Horde,0.0
The Dimmer Sisters,Imperial Military,1.0
The Dimmer Sisters,Ink Rakes,-0.1348272982638805
The Dimmer Sisters,Inspectors,0.0
The Dimmer Sisters,Ironhook Prison,0.0034330980021002877
The Dimmer Sisters,The Lampblacks,-1.0
The Dimmer Sisters,Leviathan Hunters,0.0
The Dimmer Sisters,Lord Scurlock,0.0
The Dimmer Sisters,The Lost,-1.0
The Dimmer Sisters,Ministry of Preservation,-1.0
The Dimmer Sisters,The Path of Echoes,-1.0
The Dimmer Sisters,Rail Jacks,-1.1558473052251346
The Dimmer Sisters,The Reconciled,-0.30402884390641094
The Dimmer Sisters,The Red Sashes,0.0
The Dimmer Sisters,Sailors,-0.3927960572139733
The Dimmer Sisters,The Silver Nails,0.05315306559642541
The Dimmer Sisters,Skovlander Refugees,0.0
The Dimmer Sisters,Sparkwrights,0.0
The Dimmer Sisters,Spirit Wardens,1.0054956208494212
The Dimmer Sisters,Ulf Ironborn,1.0
The Dimmer Sisters,The Unseen,-0.08538549712117671
The Dimmer Sisters,The Weeping Lady,0.0
The Dimmer Sisters,The Wraiths,0.0
The Dimmer Sisters,The Players,0.25
Dockers,The Billhooks,0.0
Dockers,The Brigade,0.0
Dockers,Bluecoats,1.0
Dockers,Cabbies,0.0
Dockers,The Church of the Ecstasy of the Flesh,0.0
Dockers,The Circle of Flame,1.0
Dockers,The Crows,0.9161074525132983
Dockers,Cyphers,0.0
Dockers,Deathlands Scavengers,-1.219672125505125
Dockers,The Dimmer Sisters,0.09007792559006023
Dockers,Dockers,0.0
Dockers,The Fog Hounds,0.0
Dockers,The Forgotten Gods,0.0
Dockers,The Foundation,0.0
Dockers,Gondoliers,0.0
Dockers,The Gray Cloaks,0.0
Dockers,The Grinders,0.25
Dockers,The Hive,0.0
Dockers,The Horde,0.0
Dockers,Imperial Military,-1.0
Dockers,Ink Rakes,0.8651727017361195
Dockers,Inspectors,0.0
Dockers,Ironhook Prison,-2.0068661960042005
Dockers,The Lampblacks,0.0
Dockers,Leviathan Hunters,0.0
Dockers,Lord Scurlock,0.0
Dockers,The Lost,0.0
Dockers,Ministry of Preservation,0.0
Dockers,The Path of Echoes,-1.0
Dockers,Rail Jacks,2.1558473052251346
Dockers,The Reconciled,0.6080576878128219
Dockers,The Red Sashes,0.0
Dockers,Sailors,0.3927960572139733
Dockers,The Silver Nails,-1.0
Dockers,Skovlander Refugees,0.0
Dockers,Sparkwrights,0.0
Dockers,Spirit Wardens,-0.010991241698842469
Dockers,Ulf Ironborn,0.18636024925465744
Dockers,The Unseen,0.17077099424235342
Dockers,The Weeping Lady,0.0
Dockers,The Wraiths,-1.0
Dockers,The Players,0.25
The Fog Hounds,The Billhooks,0.0
The Fog Hounds,The Brigade,1.0
The Fog Hounds,Bluecoats,1.0
The Fog Hounds,Cabbies,0.0
The Fog Hounds,The Church of the Ecstasy of the Flesh,0.0
The Fog Hounds,The Circle of Flame,1.0
The Fog Hounds,The Crows,-0.08389254748670172
The Fog Hounds,Cyphers,1.0625607628364264
The Fog Hounds,Deathlands Scavengers,0.0
The Fog Hounds,The Dimmer Sisters,0.0
The Fog Hounds,Dockers,-1.0
The Fog Hounds,The Fog Hounds,0.0
The Fog Hounds,The Forgotten Gods,1.0
The Fog Hounds,The Foundation,-1.0
The Fog Hounds,Gondoliers,-1.0
The Fog Hounds,The Gray Cloaks,0.0
The Fog Hounds,The Grinders,0.25
The Fog Hounds,The Hive,1.0
The Fog Hounds,The Horde,0.0
The Fog Hounds,Imperial Military,1.0
The Fog Hounds,Ink Rakes,-0.1348272982638805
The Fog Hounds,Inspectors,1.0
The Fog Hounds,Ironhook Prison,0.0
The Fog Hounds,The Lampblacks,0.0
The Fog Hounds,Leviathan Hunters,0.0
The Fog Hounds,Lord Scurlock,0.0
The Fog Hounds,The Lost,1.0
The Fog Hounds,Ministry of Preservation,0.0
The Fog Hounds,The Path of Echoes,0.0
The Fog Hounds,Rail Jacks,0.0
The Fog Hounds,The Reconciled,-0.15201442195320547
The Fog Hounds,The Red Sashes,-1.0
The Fog Hounds,Sailors,0.0
The Fog Hounds,The Silver Nails,0.03871876154066811
The Fog Hounds,Skovlander Refugees,0.0
The Fog Hounds,Sparkwrights,0.0
The Fog Hounds,Spirit Wardens,0.002747810424710617
The Fog Hounds,Ulf Ironborn,2.1863602492546574
The Fog Hounds,The Unseen,0.0
The Fog Hounds,The Weeping Lady,0.0
The Fog Hounds,The Wraiths,0.0
The Fog Hounds,The Players,-0.25
The Forgotten Gods,The Billhooks,-0.5
The Forgotten Gods,The Brigade,0.0
The Forgotten Gods,Bluecoats,-1.0
The Forgotten Gods,Cabbies,1.0
The Forgotten Gods,The Church of the Ecstasy of the Flesh,0.0
The Forgotten Gods,The Circle of Flame,0.0
The Forgotten Gods,The Crows,0.0
The Forgotten Gods,Cyphers,0.06256076283642653
The Forgotten Gods,Deathlands Scavengers,-0.3901639372474375
The Forgotten Gods,The Dimmer Sisters,0.0
The Forgotten Gods,Dockers,0.75
The Forgotten Gods,The Fog Hounds,0.0
The Forgotten Gods,The Forgotten Gods,0.0
The Forgotten Gods,The Foundation,-1.0
The Forgotten Gods,Gondoliers,-2.0
The Forgotten Gods,The Gray Cloaks,0.0
The Forgotten Gods,The Grinders,1.0
The Forgotten Gods,The Hive,1.0
The Forgotten Gods,The Horde,0.0
The Forgotten Gods,Imperial Military,0.0
The Forgotten Gods,Ink Rakes,0.1348272982638805
The Forgotten Gods,Inspectors,0.0
The Forgotten Gods,Ironhook Prison,1.0034330980021002
The Forgotten Gods,The Lampblacks,0.0
The Forgotten Gods,Leviathan Hunters,0.0
The Forgotten Gods,Lord Scurlock,0.0
The Forgotten Gods,The Lost,-1.0
The Forgotten Gods,Ministry of Preservation,0.0
The Forgotten Gods,The Path of Echoes,0.0
The Forgotten Gods,Rail Jacks,-1.0
The Forgotten Gods,The Reconciled,0.15201442195320547
The Forgotten Gods,The Red Sashes,0.0
The Forgotten Gods,Sailors,0.0
The Forgotten Gods,The Silver Nails,0.0
The Forgotten Gods,Skovlander Refugees,0.0
The Forgotten Gods,Sparkwrights,0.0
The Forgotten Gods,Spirit Wardens,-0.9381776233624484
The Forgotten Gods,Ulf Ironborn,0.0
The Forgotten Gods,The Unseen,-0.08538549712117671
The Forgotten Gods,The Weeping Lady,1.0
The Forgotten Gods,The Wraiths,0.0
The Forgotten Gods,The Players,0.0
The Foundation,The Billhooks,-0.5
The Foundation,The Brigade,0.0
The Foundation,Bluecoats,0.0
The Foundation,Cabbies,1.0
The Foundation,The Church of the Ecstasy of the Flesh,0.0
The Foundation,The Circle of Flame,0.0
The Foundation,The Crows,0.0
The Foundation,Cyphers,0.0
The Foundation,Deathlands Scavengers,0.6098360627525625
The Foundation,The Dimmer Sisters,-2.0
The Foundation,Dockers,0.75
The Foundation,The Fog Hounds,-2.0
The Foundation,The Forgotten Gods,0.0
The Foundation,The Foundation,0.0
The Foundation,Gondoliers,-0.09251165815415019
The Foundation,The Gray Cloaks,-1.0
The Foundation,The Grinders,0.0
The Foundation,The Hive,0.028232500570303132
The Foundation,The Horde,1.0
The Foundation,Imperial Military,0.0
The Foundation,Ink Rakes,0.0
The Foundation,Inspectors,0.0
The Foundation,Ironhook Prison,0.0034330980021002877
The Foundation,The Lampblacks,-0.09009443633151426
The Foundation,Leviathan Hunters,0.0
The Foundation,Lord Scurlock,1.0
The Foundation,The Lost,0.0
The Foundation,Ministry of Preservation,0.8461397141559047
The Foundation,The Path of Echoes,0.0
The Foundation,Rail Jacks,-1.0
The Foundation,The Reconciled,0.15201442195320547
The Foundation,The Red Sashes,0.0
The Foundation,Sailors,0.0
The Foundation,The Silver Nails,-0.03625622318337973
The Foundation,Skovlander Refugees,-1.0
The Foundation,Sparkwrights,-1.0
The Foundation,Spirit Wardens,-1.0
The Foundation,Ulf Ironborn,-1.0
The Foundation,The Unseen,-0.08538549712117671
The Foundation,The Weeping Lady,2.0
The Foundation,The Wraiths,1.0
The Foundation,The Players,-0.75
Gondoliers,The Billhooks,0.0
Gondoliers,The Brigade,0.0
Gondoliers,Bluecoats,0.0
Gondoliers,Cabbies,0.0
Gondoliers,The Church of the Ecstasy of the Flesh,0.0
Gondoliers,The Circle of Flame,0.0
Gondoliers,The Crows,0.0
Gondoliers,Cyphers,0.0
Gondoliers,Deathlands Scavengers,0.0
Gondoliers,The Dimmer Sisters,0.0
Gondoliers,Dockers,0.0
Gondoliers,The Fog Hounds,1.0
Gondoliers,The Forgotten Gods,0.0
Gondoliers,The Foundation,0.0
Gondoliers,Gondoliers,0.0
Gondoliers,The Gray Cloaks,0.0
Gondoliers,The Grinders,0.0
Gondoliers,The Hive,-0.028232500570303132
Gondoliers,The Horde,-1.0
Gondoliers,Imperial Military,1.0
Gondoliers,Ink Rakes,1.0
Gondoliers,Inspectors,0.0
Gondoliers,Ironhook Prison,1.0
Gondoliers,The Lampblacks,-0.18018887266302852
Gondoliers,Leviathan Hunters,0.0
Gondoliers,Lord Scurlock,0.0
Gondoliers,The Lost,1.0
Gondoliers,Ministry of Preservation,1.6922794283118094
Gondoliers,The Path of Echoes,0.0
Gondoliers,Rail Jacks,0.0
Gondoliers,The Reconciled,0.0
Gondoliers,The Red Sashes,0.0
Gondoliers,Sailors,0.0
Gondoliers,The Silver Nails,0.019359380770334056
Gondoliers,Skovlander Refugees,0.0
Gondoliers,Sparkwrights,-2.0
Gondoliers,Spirit Wardens,1.0
Gondoliers,Ulf Ironborn,1.0
Gondoliers,The Unseen,0.0
Gondoliers,The Weeping Lady,0.0
Gondoliers,The Wraiths,-1.0
Gondoliers,The Players,0.25
The Gray Cloaks,The Billhooks,-0.5
The Gray Cloaks,The Brigade,1.0
The Gray Cloaks,Bluecoats,-1.0
The Gray Cloaks,Cabbies,0.0
The Gray Cloaks,The Church of the Ecstasy of the Flesh,0.0
The Gray Cloaks,The Circle of Flame,0.0
The Gray Cloaks,The Crows,-1.0
The Gray Cloaks,Cyphers,0.0
The Gray Cloaks,Deathlands Scavengers,0.6098360627525625
The Gray Cloaks,The Dimmer Sisters,-1.0900779255900601
The Gray Cloaks,Dockers,-1.25
The Gray Cloaks,The Fog Hounds,0.0
The Gray Cloaks,The Forgotten Gods,0.0
The Gray Cloaks,The Foundation,-1.0
The Gray Cloaks,Gondoliers,1.0
The Gray Cloaks,The Gray Cloaks,0.0
The Gray Cloaks,The Grinders,-1.0
The Gray Cloaks,The Hive,0.028232500570303132
The Gray Cloaks,The Horde,0.0
The Gray Cloaks,Imperial Military,1.0
The Gray Cloaks,Ink Rakes,2.1348272982638807
The Gray Cloaks,Inspectors,0.02797924843816163
The Gray Cloaks,Ironhook Prison,0.0034330980021002877
The Gray Cloaks,The Lampblacks,0.0
The Gray Cloaks,Leviathan Hunters,0.0
The Gray Cloaks,Lord Scurlock,-1.0
The Gray Cloaks,The Lost,0.0
The Gray Cloaks,Ministry of Preservation,0.0
